[Thu May 28 10:16:34 2020] [NOTICE] [include] -> Undefined variable: import_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 36
[Thu May 28 10:16:34 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 100
[Thu May 28 10:16:48 2020] [NOTICE] [include] -> Undefined variable: active, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 7
[Thu May 28 10:16:48 2020] [NOTICE] [include] -> Undefined variable: inactive, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 8
[Thu May 28 10:16:48 2020] [NOTICE] [include] -> Undefined variable: blocked, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 9
[Thu May 28 10:16:48 2020] [NOTICE] [include] -> Undefined variable: add_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 16
[Thu May 28 10:16:48 2020] [NOTICE] [include] -> Undefined variable: download_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 27
[Thu May 28 10:16:48 2020] [NOTICE] [include] -> Undefined variable: import_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 36
[Thu May 28 10:16:48 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 100
[Thu May 28 10:17:11 2020] [NOTICE] [include] -> Undefined variable: active, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 7
[Thu May 28 10:17:11 2020] [NOTICE] [include] -> Undefined variable: inactive, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 8
[Thu May 28 10:17:11 2020] [NOTICE] [include] -> Undefined variable: blocked, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 9
[Thu May 28 10:17:11 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 16
[Thu May 28 10:17:11 2020] [NOTICE] [include] -> Undefined variable: download_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 23
[Thu May 28 10:17:11 2020] [NOTICE] [include] -> Undefined variable: import_per, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 32
[Thu May 28 10:17:11 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 96
[Thu May 28 10:17:54 2020] [NOTICE] [include] -> Undefined variable: active, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 7
[Thu May 28 10:17:54 2020] [NOTICE] [include] -> Undefined variable: inactive, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 8
[Thu May 28 10:17:54 2020] [NOTICE] [include] -> Undefined variable: blocked, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 9
[Thu May 28 10:17:54 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 16
[Thu May 28 10:17:54 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 73
[Thu May 28 10:19:06 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:19:06 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 59
[Thu May 28 10:30:00 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:30:00 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 59
[Thu May 28 10:30:04 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:30:04 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 59
[Thu May 28 10:30:37 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:30:37 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 28
[Thu May 28 10:30:40 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:30:40 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:30:40 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:30:52 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:30:55 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:30:55 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:30:55 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: result, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 78
[Thu May 28 10:32:36 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:32:40 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:32:40 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:32:48 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:32:51 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:32:51 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:33:17 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:33:31 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:33:32 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:34:41 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:34:46 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:34:46 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:35:46 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:35:49 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:35:49 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:39:48 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
[Thu May 28 10:39:48 2020] [NOTICE] [Order_list->get_data_list] -> Undefined variable: params, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 76
[Thu May 28 10:42:07 2020] [NOTICE] [include] -> Undefined variable: security, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\index.php, LINE: 6
[Thu May 28 10:42:15 2020] [WARNING] [Order_list->get_data_list] -> count(): Parameter must be an array or an object that implements Countable, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 74
