[Sat May 30 23:33:38 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:33:38 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:33:38 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:33:38 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:34:55 2020] [EMERGENCY] [] -> Constant MODULE_DASHBOARD already defined, FILE: C:\xampp\htdocs\sos\application\systems\sos\constants.php, LINE: 53
[Sat May 30 23:37:10 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sat May 30 23:37:13 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sat May 30 23:40:34 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sat May 30 23:40:37 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sat May 30 23:42:56 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sat May 30 23:42:58 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sat May 30 23:42:59 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
