[Sun May 31 00:14:03 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:14:05 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:14:28 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:14:32 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:14:34 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:15:13 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:15:17 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:15:20 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:16:15 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:16:46 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:17:06 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:17:30 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
[Sun May 31 00:17:48 2020] [WARNING] [Order_list->__construct] -> Use of undefined constant MODULE_ORDER_LIST - assumed 'MODULE_ORDER_LIST' (this will throw an Error in a future version of PHP), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 16
