[Fri May 29 13:15:13 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:15:13 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:15:13 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 64
[Fri May 29 13:15:13 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 68
[Fri May 29 13:16:20 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:16:20 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:16:20 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 64
[Fri May 29 13:16:20 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 68
[Fri May 29 13:18:02 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:18:02 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:18:02 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 64
[Fri May 29 13:18:02 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 68
[Fri May 29 13:19:43 2020] [NOTICE] [include] -> Undefined variable: systems, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:19:43 2020] [WARNING] [include] -> Invalid argument supplied for foreach(), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 25
[Fri May 29 13:19:43 2020] [NOTICE] [include] -> Undefined variable: maintainer_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 64
[Fri May 29 13:19:43 2020] [NOTICE] [include] -> Undefined variable: default_role_sign_up_flag_check, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\views\modals\order_list.php, LINE: 68
[Fri May 29 13:24:09 2020] [ERROR] [] -> Uncaught exception: [0] Call to protected method Base_Model::select_data() from context 'Order_list'
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', '71de9d71c69ec3a', '589da1d351ab5ad', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 196
[Fri May 29 13:24:25 2020] [ERROR] [] -> Uncaught exception: [0] Call to protected method Base_Model::select_data() from context 'Order_list'
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', '71de9d71c69ec3a', '589da1d351ab5ad', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 196
[Fri May 29 13:26:17 2020] [ERROR] [] -> Uncaught exception: [0] Call to protected method Base_Model::select_data() from context 'Order_list'
#0 C:\xampp\htdocs\sos\system\core\CodeIgniter.php(514): Order_list->process_modal('db564798f627cc6...', 'edd690003cc6ae9', '56aeaba6d2e8728', 'add')
#1 C:\xampp\htdocs\sos\index.php(293): require_once('C:\\xampp\\htdocs...')
#2 {main}, FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\controllers\Order_list.php, LINE: 197
[Fri May 29 13:30:16 2020] [WARNING] [include_once] -> Declaration of Order_list_model::select_data($id) should be compatible with Base_Model::select_data($fields_arr, $table, $multiple, $where_arr = Array, $order_arr = Array, $group_arr = Array), FILE: C:\xampp\htdocs\sos\application\systems\sos\order_list\models\Order_list_model.php, LINE: 3
[Fri May 29 13:30:16 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:30:16 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:30:16 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
[Fri May 29 13:30:16 2020] [NOTICE] [CI_Model->__get] -> Undefined property: CI::$user_roles, FILE: C:\xampp\htdocs\sos\system\core\Model.php, LINE: 77
